Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
L-Arginine,200605_Poo_QC2_2,L-Arginine_13C-1 15N-0,18.72,3641401,0,111073,-2.3,L-Arginine
L-Arginine,200605_Poo_QC2_3,L-Arginine_13C-1 15N-0,18.94,3498343,0,102211,-3,L-Arginine
L-Arginine,200605_Poo_QC2_4,L-Arginine_13C-1 15N-0,19.02,4930677,0,133860,-4.3,L-Arginine
L-Arginine,200605_Poo_QC2_5,L-Arginine_13C-1 15N-0,18.99,4981236,0,127869,-3.4,L-Arginine
L-Arginine,200605_Blk_GBTFate1MBlk-IS_A,L-Arginine_13C-1 15N-0,#N/A,#N/A,#N/A,#N/A,#N/A,L-Arginine
L-Arginine,200605_Blk_GBTFate1MBlk-IS_B,L-Arginine_13C-1 15N-0,17.15,4292,0,2931,-1.1,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT0-IS_A,L-Arginine_13C-1 15N-0,18.96,733545,0,25200,-3.9,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT0-IS_B,L-Arginine_13C-1 15N-0,19.03,326530,0,14741,-3.2,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT0-IS_C,L-Arginine_13C-1 15N-0,18.93,925034,0,28537,-4.3,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT12-IS_A,L-Arginine_13C-1 15N-0,19.05,1148114,0,37342,-4.7,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT12-IS_B,L-Arginine_13C-1 15N-0,18.74,682792,0,24587,-1.7,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT12-IS_C,L-Arginine_13C-1 15N-0,19.14,862913,0,29397,-4.4,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT36-IS_A,L-Arginine_13C-1 15N-0,18.77,2363627,0,66537,-3,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT36-IS_B,L-Arginine_13C-1 15N-0,18.77,1372496,0,49687,-2.2,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT36-IS_C,L-Arginine_13C-1 15N-0,18.92,2596872,0,75677,-3.1,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT4-IS_A,L-Arginine_13C-1 15N-0,18.78,406137,0,17789,-3,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT4-IS_B,L-Arginine_13C-1 15N-0,18.77,932750,0,32400,-2.7,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT4-IS_C,L-Arginine_13C-1 15N-0,18.89,518029,0,16513,-3,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT50-IS_A,L-Arginine_13C-1 15N-0,18.83,1248719,0,41337,-3.4,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT50-IS_B,L-Arginine_13C-1 15N-0,18.91,1006185,0,32337,-3.5,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT50-IS_C,L-Arginine_13C-1 15N-0,18.99,1084328,0,30031,-4.4,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT8-IS_A,L-Arginine_13C-1 15N-0,19.01,608234,0,20765,-4.7,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT8-IS_B,L-Arginine_13C-1 15N-0,18.58,2120732,0,67247,-2.8,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT8-IS_C,L-Arginine_13C-1 15N-0,18.89,977216,0,32282,-3.3,L-Arginine
L-Arginine,200605_Smp_GBTFate1MTlong-IS_A,L-Arginine_13C-1 15N-0,18.89,1184012,0,39020,-2.4,L-Arginine
L-Arginine,200605_Smp_GBTFate1MTlong-IS_B,L-Arginine_13C-1 15N-0,18.75,1594891,0,46978,-2.9,L-Arginine
L-Arginine,200605_Smp_GBTFate1MTlong-IS_C,L-Arginine_13C-1 15N-0,18.87,4016273,0,110229,-3.4,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT0-IS_A,L-Arginine_13C-1 15N-0,18.96,348765,0,16276,-3.3,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT0-IS_B,L-Arginine_13C-1 15N-0,18.64,385296,0,14780,-2.5,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT0-IS_C,L-Arginine_13C-1 15N-0,18.89,146827,0,10321,-3.1,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT12-IS_A,L-Arginine_13C-1 15N-0,18.94,551116,0,19364,-3.3,L-Arginine
L-Arginine,200605_Smp_GBTFate2MT12-IS_B,L-Arginine_13C-1 15N-0,18.97,751037,0,25806,-4,L-Arginine
