MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
Betonicine_13C-0 15N-0,Betonicine,Fate2,24,Smp,C,NA,700,2,25,12,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,48,Smp,A,NA,900,2,51,26,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,48,Smp,B,NA,900,2,51,26,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,48,Smp,C,NA,900,2,51,26,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,5,Smp,A,NA,1300,2,6,5.75,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,5,Smp,B,NA,1300,2,6,5.75,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,5,Smp,C,NA,1300,2,6,5.75,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,96,Smp,A,NA,1000,2,100,49,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,96,Smp,B,NA,1000,2,100,49,NA
Betonicine_13C-0 15N-0,Betonicine,Fate2,96,Smp,C,NA,1000,2,100,49,NA
Carnitine_13C-0 15N-0,Carnitine,Fate1,0,Smp,A,0.04768714170565619,900,2,0.5,0,0.011787625601082135
Carnitine_13C-0 15N-0,Carnitine,Fate1,0,Smp,B,0.0387875044541191,900,2,0.5,0,0.009587753934332185
Carnitine_13C-0 15N-0,Carnitine,Fate1,0,Smp,C,0.06602843106753223,900,1.95,0.5,0,0.01673984387775699
Carnitine_13C-0 15N-0,Carnitine,Fate1,12,Smp,A,0.035964443647261,1930,2,12.5,3.5,0.008889930943687622
Carnitine_13C-0 15N-0,Carnitine,Fate1,12,Smp,B,0.024773540189383218,1930,2,12.5,3.5,0.006123688820946341
Carnitine_13C-0 15N-0,Carnitine,Fate1,12,Smp,C,0.03164991735929807,1930,2,12.5,3.5,0.007823437572320359
Carnitine_13C-0 15N-0,Carnitine,Fate1,36,Smp,A,0.03966944549902149,1900,2,36,23.5,0.009805758001418124
Carnitine_13C-0 15N-0,Carnitine,Fate1,36,Smp,B,0.04190282163086071,1900,2,36,23.5,0.010357818802860358
Carnitine_13C-0 15N-0,Carnitine,Fate1,36,Smp,C,0.06294072144382949,1900,2,36,23.5,0.015558107131295398
Carnitine_13C-0 15N-0,Carnitine,Fate1,4,Smp,A,0.027739553583271508,1200,2,4.5,4.25,0.006856847785070274
Carnitine_13C-0 15N-0,Carnitine,Fate1,4,Smp,B,0.041884981915384,1200,2,4.5,4.25,0.010353409063057387
Carnitine_13C-0 15N-0,Carnitine,Fate1,4,Smp,C,0.03380004313374222,1200,2,4.5,4.25,0.008354919995419294
Carnitine_13C-0 15N-0,Carnitine,Fate1,50,Smp,A,0.041122517024839,900,2,50,14,0.010164937908313205
Carnitine_13C-0 15N-0,Carnitine,Fate1,50,Smp,B,0.03218217921400409,900,2,50,14,0.007955005605978957
Carnitine_13C-0 15N-0,Carnitine,Fate1,50,Smp,C,0.04368006867380673,900,2,50,14,0.010797130575249374
Carnitine_13C-0 15N-0,Carnitine,Fate1,96,Smp,A,0.05009466767641039,800,1.9,98,48,0.013034456758638208
